Player,Pos,Team,Opp,DK Proj,FD Proj,FFPC Proj,Standard Proj,Half PPR Proj,Full PPR Proj,DK Ceiling,FD Ceiling,Slate
Nick Chubb,RB,HOU,@KC,3.8,3.5,3.8,3.2,3.5,3.7,8.9,8.3,Sunday
Greg Dulcich,TE,MIA,@NYJ,3.8,3,4.5,2.2,3,3.7,8.9,7.4,Main
Xavier Weaver,WR,ARI,LA,3.7,3,3.6,2.3,3,3.6,9.5,8.2,Main
Cole Kmet,TE,CHI,@GB,3.7,2.9,4.5,2.2,2.9,3.7,9.1,7.6,Main
Luke Musgrave,TE,GB,CHI,3.6,2.8,4.4,2,2.8,3.6,8.6,7,Main
Xavier Hutchinson,WR,HOU,@KC,3.6,2.9,3.6,2.2,2.9,3.6,9.1,7.7,Sunday
Davis Allen,TE,LA,@ARI,3.6,2.9,4.3,2.1,2.9,3.6,9.1,7.7,Main
ARI DST,DST,ARI,LA,3.6,3.6,4.3,3.6,3.6,3.6,9.7,9.7,Main
CIN DST,DST,CIN,@BUF,3.6,3.6,4.4,3.6,3.6,3.6,10.1,10.1,Main
DAL DST,DST,DAL,@DET,3.6,3.6,4.4,3.6,3.6,3.6,9.9,9.9,Thursday
Jackson Hawes,TE,BUF,CIN,3.5,2.8,4.1,2.2,2.8,3.5,9.2,8,Main
Isaiah Bond,WR,CLE,TEN,3.5,2.9,3.5,2.4,2.9,3.5,9.4,8.3,Main
Terrance Ferguson,TE,LA,@ARI,3.5,2.9,4.1,2.3,2.9,3.5,9.6,8.4,Main
Cade Stover,TE,HOU,@KC,3.4,2.6,4.1,1.9,2.6,3.3,7.7,6.2,Sunday
Ollie Gordon,RB,MIA,@NYJ,3.3,3.1,3.3,2.9,3.1,3.3,8.8,8.5,Main
Roman Wilson,WR,PIT,@BAL,3.3,2.7,3.3,2.1,2.7,3.3,8.8,7.6,Main
Treylon Burks,WR,WAS,@MIN,3.2,2.6,3.2,2,2.6,3.1,8.1,7,Main
Noah Brown,WR,WAS,@MIN,3.1,2.5,3.1,1.9,2.5,3.1,6.8,5.8,Main
Elijah Higgins,TE,ARI,LA,3,2.3,3.7,1.6,2.3,3,7.6,6.1,Main
Jaylin Noel,WR,HOU,@KC,3,2.4,3,1.8,2.4,3,8,6.7,Sunday
Brashard Smith,RB,KC,HOU,3,2.4,3,1.8,2.4,3,7.9,6.6,Sunday
